Serie,Modelo,MAE,MSE,RMSE,MAPE
AMD,Chronos (bolt-tiny),15.1,321.34,17.93,10.08
AMD,VAR,15.81,336.9,18.35,10.95
AMD,TimeGPT,18.12,455.02,21.33,11.87
AMD,ARIMA,18.83,480.36,21.92,12.3
AMD,AutoML (FLAML - LGBM),30.27,1215.4,34.86,19.89
INTC,TimeGPT,1.5,3.17,1.78,6.7
INTC,Chronos (bolt-tiny),1.93,5.89,2.43,8.33
INTC,ARIMA,2.97,12.14,3.48,12.91
INTC,VAR,3.09,13.34,3.65,13.49
INTC,AutoML (FLAML - LGBM),15.87,270.69,16.45,73.5
NVDA,VAR,10.31,190.48,13.8,7.85
NVDA,ARIMA,17.32,369.49,19.22,12.89
NVDA,TimeGPT,26.17,827.37,28.76,19.34
NVDA,Chronos (bolt-tiny),28.37,917.75,30.29,21.16
NVDA,AutoML (FLAML - ExtraTree),82.07,6935.9,83.28,62.46
